name,address,lat,lng,status,type,description,developer,construction,investment,units,source,photo
Mirrorton,"600 E Bay St, Lakeland, FL 33801",28.0477,-81.9498,Completed,Residential,"Urban infill multifamily community north of Lake Mirror with apartments, townhomes and amenity space across a multi-block site.",Barclay Group / Framework Group,Flournoy Construction Group,$61 million,"305 units; 320,059 SF",https://barclaygroup.com/project/mirrorton/,
The Gardens Apartments,"325 S Lake Ave, Lakeland, FL 33801",28.0404,-81.95,Completed,Residential,Downtown Garden District apartment development consisting of 90 market-rate units.,Broadway Real Estate Services,Not publicly identified,~$10.6 million,"90 units; ~100,000 SF",https://www.lkldnow.com/downtown-lakeland-enters-new-chapter-as-three-apartment-properties-go-up-for-sale/,
Nathan's Building Redevelopment,"221 E Main St, Lakeland, FL 33801",28.04398,-81.95541,Completed,Commercial,"Historic downtown building renovated for Wauchula State Bank, Kimley-Horn offices and Banquet61/event use.",JB Realty Partners,Not publicly identified,Not publicly disclosed,Historic mixed-use commercial building; exact renovated SF not confirmed,https://commercial.saundersrealestate.com/commercial-services/property-management/retail/svn-srd-partners-with-jb-realty-partners/,
Eli Whitt Building Redevelopment,"Downtown Lakeland, FL 33801",28.046,-81.954,Completed,Commercial,Adaptive reuse/renovation of a historic downtown commercial building for new tenants and uses.,JB Realty Partners,Not publicly identified,Not publicly disclosed,Historic commercial building; exact SF not confirmed,https://www.lakelandgov.net/media/16587/annual-budget-2023.pdf,
Summit Consulting Headquarters,"117 N Massachusetts Ave, Lakeland, FL 33801",28.04475,-81.953972,Completed,Commercial,"Nine-story downtown headquarters and parking structure built adjacent to Lake Mirror, consolidating Summit operations downtown.",Daniel Corporation,Brasfield & Gorrie,$50+ million,"~134,000 SF office; structured parking",https://lunz.com/project/summit-consulting/,
Royal Oak Apartments,"923 E Lemon St, Lakeland, FL 33801",28.0415,-81.9453,Completed,Residential,Five-building infill apartment community in the Garden District with one- and two-bedroom units.,CODA Development,Miller Construction,Not publicly disclosed,"22 units; 18,032 SF",https://lunz.com/project/royal-oak-apartments/,
Bonnet Springs Park,"400 Bonnet Springs Blvd, Lakeland, FL 33815",28.049382,-81.96635,Completed,Parks & Recreation,"Transformation of a former rail yard into a major regional urban park with trails, gardens, nature, recreation, event and cultural facilities.","Bonnet Springs Park, Inc.",Rodda Construction (Construction Manager),~$100M+ overall project (public reports vary),168 acres,https://www.sasaki.com/projects/bonnet-springs-park/,
Florida Children's Museum,"600 Bonnet Springs Blvd, Lakeland, FL 33815",28.0502,-81.9662,Completed,Parks & Recreation,"New children's museum at Bonnet Springs Park replacing the former Explorations V downtown location, with expanded indoor and outdoor exhibits.",Florida Children's Museum / Bonnet Springs Park,Rodda Construction / project team (park-wide CM),Not publicly isolated from park-wide investment,"47,800 SF museum",https://www.lkldnow.com/florida-childrens-museum-opens-this-weekend/,
Valencia at the Park,"301 S Lake Ave, Lakeland, FL 33801",28.0412,-81.9499,Completed,Residential,Garden District apartment development across from Barnett Family Park with a mix of one- and two-bedroom residences.,CODA Development,Miller Construction Management,Not publicly disclosed,32 units,https://lakelandedc.com/wp-content/uploads/2023/11/2023-Annual-Report.pdf,
Prospect Lake Wire - Phase I,"West of downtown / former Florida Tile site, Lakeland, FL 33815",28.0464,-81.9638,Completed,Mixed Use,"First phase of the former Florida Tile brownfield redevelopment, combining multifamily housing and neighborhood retail.",Carter USA / Lake Wire Development Company,Not publicly identified,Not publicly disclosed,"300 apartments; ~15,000 SF retail",https://www.lakelandgov.net/portals/CityClerk/City%20Commission/Agendas/2024/03-04-24/III-C-1%20-%20CompPlanReportPres.pdf,
